,delegator_address,validator_address,shares,operator_address,moniker,website,details,tokens,jailed
39,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper14l0fp639yudfl46zauvv8rkzjgd4u0zk2aseys,175248805456.000000000000000000,cosmosvaloper1slt7tkd7srlaxnt8vk6uff7j3mc7pk233rs0r5,Dominator,,,33048898102,FALSE
39,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper1clpqr4nrk4khgkxj78fcwwh6dl3uw4epsluffn,300000000000.000000000000000000,cosmosvaloper1slt7tkd7srlaxnt8vk6uff7j3mc7pk233rs0r5,Dominator,,,33048898102,FALSE
40,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1k9a0cs97vul8w2vwknlfmpez6prv8klv03lv3d,175248805456.000000000000000000,cosmosvaloper13x77yexvf6qexfjg9czp6jhpv7vpjdwwkyhe4p,blockscape,https://blockscape.network/,"By delegating, you confirm that you are aware of the risk of slashing and that M-Way Solutions GmbH is not liable for any potential damages to your investment.",216912470980,FALSE
40,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper1ey69r37gfxvxg62sh4r0ktpuc46pzjrm873ae8,1917141110.942770000000000000,cosmosvaloper13x77yexvf6qexfjg9czp6jhpv7vpjdwwkyhe4p,blockscape,https://blockscape.network/,"By delegating, you confirm that you are aware of the risk of slashing and that M-Way Solutions GmbH is not liable for any potential damages to your investment.",216912470980,FALSE
41,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1kgddca7qj96z0qcxr2c45z73cfl0c75p7f3s2e,53141674500.000000000000000000,cosmosvaloper132juzk0gdmwuxvx4phug7m3ymyatxlh9734g4w,P2P.ORG - P2P Validator,https://p2p.org,"One of the winners of Cosmos Game of Stakes. We provide a simple, secure and intelligent staking service to help you generate rewards on your blockchain assets across 9+ networks within a single interface. Let’s stake together - p2p.org.",3675170540922,FALSE
41,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper1e0plfg475phrsvrlzw8gwppeva0zk5yg9fgg8c,100000000000.000000000000000000,cosmosvaloper132juzk0gdmwuxvx4phug7m3ymyatxlh9734g4w,P2P.ORG - P2P Validator,https://p2p.org,"One of the winners of Cosmos Game of Stakes. We provide a simple, secure and intelligent staking service to help you generate rewards on your blockchain assets across 9+ networks within a single interface. Let’s stake together - p2p.org.",3675170540922,FALSE
42,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1cgh5ksjwy2sd407lyre4l3uj2fdrqhpkzp06e6,175248805456.000000000000000000,cosmosvaloper130mdu9a0etmeuw52qfxk73pn0ga6gawkxsrlwf,strangelove-ventures,https://strangelove.ventures,'You must construct additional pylons' -StarCraft,1056471321933,FALSE
42,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper1ehkfl7palwrh6w2hhr2yfrgrq8jetgucudztfe,300000000000.000000000000000000,cosmosvaloper130mdu9a0etmeuw52qfxk73pn0ga6gawkxsrlwf,strangelove-ventures,https://strangelove.ventures,'You must construct additional pylons' -StarCraft,1056471321933,FALSE
43,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1e0plfg475phrsvrlzw8gwppeva0zk5yg9fgg8c,175248805000.000000000000000000,cosmosvaloper13sduv92y3xdhy3rpmhakrc3v7t37e7ps9l0kpv,nylira.net,https://nylira.net,Stake and earn with security and peace of mind. Operated by Peng Zhong.,399262481558,FALSE
43,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper1uutuwrwt3z2a5z8z3uasml3rftlpmu25aga5c6,100000000000.000000000000000000,cosmosvaloper13sduv92y3xdhy3rpmhakrc3v7t37e7ps9l0kpv,nylira.net,https://nylira.net,Stake and earn with security and peace of mind. Operated by Peng Zhong.,399262481558,FALSE
44,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1ehkfl7palwrh6w2hhr2yfrgrq8jetgucudztfe,240000000000.000000000000000000,cosmosvaloper13ce7hhqa0z3tpc2l7jm0lcvwe073hdkkpp2nst,RockX,www.rockx.com,Unlocking the full value of digital assets and decentralized governance,100347732,TRUE
44,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper1ul2me6vukg2vac2p6ltxmqlaa7jywdgt8q76ag,33000000000.000000000000000000,cosmosvaloper13ce7hhqa0z3tpc2l7jm0lcvwe073hdkkpp2nst,RockX,www.rockx.com,Unlocking the full value of digital assets and decentralized governance,100347732,TRUE
45,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1emaa7mwgpnpmc7yptm728ytp9quamsvu837nc0,179875649104.000000000000000000,cosmosvaloper1jxv0u20scum4trha72c7ltfgfqef6nsch7q6cu,Ping.pub,https://ping.pub,"We are one of the most secure and stable validator, welcome to delegate to us. 我们是最安全，最稳定，性价比最高的验证人节点，欢迎委托给我们！",541025956728,FALSE
45,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper17mggn4znyeyg25wd7498qxl7r2jhgue8u4qjcq,100000000000.000000000000000000,cosmosvaloper1jxv0u20scum4trha72c7ltfgfqef6nsch7q6cu,Ping.pub,https://ping.pub,"We are one of the most secure and stable validator, welcome to delegate to us. 我们是最安全，最稳定，性价比最高的验证人节点，欢迎委托给我们！",541025956728,FALSE
46,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1uxh465053nq3at4dn0jywgwq3s9sme3la3drx6,18050000000.000000000000000000,cosmosvaloper1jgczjsz3tugudsutektmr9z9lmv8u6vy0l2de7,InActive,,Inactive,1000000,TRUE
47,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1uhnsxv6m83jj3328mhrql7yax3nge5svrv6t6c,175248805456.000000000000000000,cosmosvaloper1j2ytk05qyx40twttvtph5ytes7lmhgshpuk50d,SpaceXPool,https://cosmos.spacexpool.com,"Secure staking with SpaceXPool, the most experienced institutional grade staking team.",999900,TRUE
48,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1u6ddcsjueax884l3tfrs66497c7g86skn7pa0u,242884513880.000000000000000000,cosmosvaloper1jw8ett8uzrvjjhfcyajwcnckfl64npwxvlz2q8,Deperacated,www.rockx.com,Please do not vote me,999900,TRUE
49,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper17mggn4znyeyg25wd7498qxl7r2jhgue8u4qjcq,175248805456.000000000000000000,cosmosvaloper1j0vaeh27t4rll7zhmarwcuq8xtrmvqhudrgcky,chainflow-cosmos-prodval-01,https://chainflow.io/cosmos,Operated by Chris Remus (Twitter @cjremus) / Validating since the Validator Working Group formed in October 2017,691446689525,FALSE
50,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1lktjhnzkpkz3ehrg8psvmwhafg56kfss3q3t8m,6188100333.000000000000000000,cosmosvaloper1jjstwduq89rzkw4qcsk0q7d4ycq5ktmqd7nrmg,LiebiPool,https://pool.liebi.com,"全新一代的 PoS 矿池，持有矿权即挖矿 All new PoS mining pool, Holder i.e. Mining",1120799,TRUE
